pl_name,hostname,pl_bmasse,pl_rade,pl_orbper,discoverymethod,disc_year,st_teff,st_rad
XO-2 S d,XO-2 S,1179.14338997,13.0,4696.0,Radial Velocity,2024,5325.0,1.02
Kepler-1808 b,Kepler-1808,9.4,3.02511302,23.3404007,Transit,2021,5530.0,0.892
Kepler-418 b,Kepler-418,349.6112477,13.45,86.67856,Transit,2014,5820.0,1.09
Kepler-249 d,Kepler-249,3.09,1.57,15.368459,Transit,2014,3568.0,0.482
OGLE-2017-BLG-0364L b,OGLE-2017-BLG-0364L,75.8,10.3,,Microlensing,2024,,
Kepler-1408 b,Kepler-1408,0.64,0.89,2.99793191,Transit,2016,6170.0,1.35
HR 8799 b,HR 8799,2000.0,13.0,170000.0,Imaging,2008,7204.58,1.49338
Kepler-500 b,Kepler-500,7.18,2.58,8.508324398,Transit,2016,5813.0,1.03
CoRoT-17 b,CoRoT-17,772.29,11.43,3.7681,Transit,2011,5740.0,1.59
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,127.0,14.0,,Microlensing,2018,,
CoRoT-7 d,CoRoT-7,17.142,4.31,8.966,Radial Velocity,2022,5250.0,0.8389
Kepler-1685 b,Kepler-1685,7.16,2.57673985,20.4905,Transit,2020,5484.0,0.835451
Kepler-296 b,Kepler-296,3.22,1.61,10.864384,Transit,2014,3740.0,0.48
TOI-1744.01,TOI-1744,7.65,2.68,22.341702927,Transit,2024,6179.0,1.14
KMT-2021-BLG-1547L b,KMT-2021-BLG-1547L,467.20775829,13.6,,Microlensing,2023,,
TOI-4377 b,TOI-4377,304.1617855,15.10970598,4.378081,Transit,2023,4974.0,3.52
HD 64114 b,HD 64114,17.8,4.41,45.791,Radial Velocity,2019,5676.0,0.882858
TOI-858 B b,TOI-858 B,349.6112477,14.06727078,3.2797178,Transit,2023,5842.0,1.308
HD 27969 b,HD 27969,1525.5763536,12.9,654.5,Radial Velocity,2021,5966.0,1.27
Kepler-1947 b,Kepler-1947,1.01,1.0101666,6.963630199,Transit,2021,6040.0,1.686
Kepler-81 d,Kepler-81,1.92,1.21,20.837846,Transit,2014,4500.0,0.595
Kepler-900 b,Kepler-900,4.98,2.08,6.9913086,Transit,2016,4836.0,0.73
TOI-1296 b,TOI-1296,95.3,14.11645916,3.9443736,Transit,2021,5567.0,1.7031
HD 24040 b,HD 24040,1589.142035,12.9,3668.0,Radial Velocity,2006,5802.0,1.3
Kepler-638 b,Kepler-638,4.01,1.83,6.07972888,Transit,2016,5382.0,0.93
Kepler-375 b,Kepler-375,2.7,1.45,12.125934,Transit,2014,5826.0,0.837
Kepler-1590 b,Kepler-1590,1.55,1.14,7.61760804,Transit,2016,6053.0,1.16
Kepler-666 b,Kepler-666,6.35,2.4,4.49876092,Transit,2016,5887.0,1.05
Kepler-586 b,Kepler-586,8.2,2.79,2.104722184,Transit,2016,5575.0,0.92
HD 180053 b,HD 180053,697.31902,13.3,213.72,Radial Velocity,2018,5131.0,4.06
Kepler-1827 b,Kepler-1827,4.1,1.85644292,3.700619936,Transit,2021,5423.0,1.404
Kepler-83 b,Kepler-83,2.94,2.83,9.77,Transit,2012,4082.0,0.61
TOI-1410 c,TOI-1410,27.0,5.63,47.56,Radial Velocity,2024,4635.0,0.7558
Kepler-578 b,Kepler-578,4.66,2.0,1.616883696,Transit,2016,5334.0,0.83
TOI-3807 b,TOI-3807,330.54154328,18.49481816,2.8989727,Transit,2023,5772.0,1.468
K2-392 b,K2-392,4.08,1.85,15.398723,Transit,2022,5726.0,1.058
UKIRT-2017-BLG-001L b,UKIRT-2017-BLG-001L,407.0,13.7,,Microlensing,2018,,
Kepler-239 b,Kepler-239,6.04,2.33,11.763051,Transit,2014,4914.0,0.763
Kepler-1812 b,Kepler-1812,6.01,2.3249424,7.165219784,Transit,2021,6174.0,1.103
HD 191939 c,HD 191939,8.0,3.195,28.579743,Transit,2020,5348.0,0.94
Kepler-931 b,Kepler-931,2.33,1.33,8.03755877,Transit,2016,5241.0,0.81
Kepler-501 c,Kepler-501,3.47,1.68119739,3.622760057,Transit,2021,5794.0,1.216
TIC 38825265 b,TIC 38825265,5.43,2.18869476,3.31336980985,Transit,2026,4375.52,0.664503
Kepler-1664 b,Kepler-1664,9.45,3.03320653,14.3868,Transit,2020,5735.81,1.072
WASP-105 b,WASP-105,572.094,10.76064,7.87288,Transit,2017,5070.0,0.9
Kepler-58 b,Kepler-58,35.5,2.78,10.2184954,Transit,2012,5843.0,1.03
GJ 887 b,GJ 887,3.9,1.8,9.2619,Radial Velocity,2020,3688.0,0.468
TOI-1759 b,TOI-1759,10.8,3.14,18.85019,Transit,2022,4065.0,0.597
HIP 70849 b,HIP 70849,1430.2278315,12.9,3649.0,Radial Velocity,2011,4105.0,0.633112
KOI-142 b,KOI-142,9.5,3.438,10.91647,Transit,2013,5466.0,0.897
Barnard c,Barnard's star,0.335,0.743,4.1244,Radial Velocity,2025,3195.0,0.185
HATS-62 b,HATS-62,56.89157,11.825495,3.2768837,Transit,2018,5416.0,0.933
Kepler-1350 c,Kepler-1350,3.64,1.73,1.766789062,Transit,2016,3827.0,0.53
TOI-1410.01,TOI-1410,12.5,3.10083009,1.21687,Transit,2024,4635.0,0.7558
TOI-5110 b,TOI-5110,921.7023803,11.98240037,30.158577,Transit,2024,6160.0,2.333
GJ 229 A c,GJ 229,8.58136699,2.87,121.93268,Radial Velocity,2020,3564.0,0.46
Kepler-341 c,Kepler-341,3.53,1.7,8.01041,Transit,2014,6012.0,1.024
TOI-791 c,TOI-791,18.6,12.94637271,232.0157,Transit,2026,6294.0,1.474
Kepler-590 b,Kepler-590,15.2,4.02,5.85296257,Transit,2016,6000.0,1.15
HD 180902 b,HD 180902,535.54355,13.5,510.9,Radial Velocity,2009,4961.0,4.16
Qatar-7 b,Qatar-7,597.5204,19.0553,2.032046,Transit,2019,6387.0,1.564
TOI-5624 e,TOI-5624,8.9,3.247,21.489936,Transit,2026,5327.0,0.82
Kepler-764 b,Kepler-764,3.33,1.64,7.33683936,Transit,2016,5557.0,0.89
TOI-7166 b,TOI-7166,4.7,2.01,12.92063621,Transit,2025,3099.0,0.222
TOI-6695 b,TOI-6695,66.74396547,9.52763359,80.389,Transit,2025,6400.0,1.517
GJ 3998 b,GJ 3998,2.5,1.39,2.65033,Radial Velocity,2016,3726.0,0.5
Kepler-656 b,Kepler-656,9.91,3.12,1.260259094,Transit,2016,5281.0,0.82
KIC 8540376 c,KOI-7892,6.35,2.4,75.2,Transit,2015,6474.0,1.26
Kepler-751 b,Kepler-751,6.62,2.46,17.44490636,Transit,2016,5387.0,0.84
HD 207496 b,HD 207496,6.1,2.25,6.441008,Transit,2023,4819.0,0.769
Kepler-276 d,Kepler-276,16.3,2.8,48.648,Transit,2013,5693.0,1.03
WASP-37 b,WASP-37,572.07,13.002,3.577469,Transit,2010,5800.0,1.003
TOI-1203 e,TOI-1203,42.1,7.31,204.59,Radial Velocity,2025,5737.0,1.179
Kepler-122 f,Kepler-122,36.0,1.75,56.268,Transit Timing Variations,2014,5917.0,0.949
OGLE-2016-BLG-0263L b,OGLE-2016-BLG-0263L,1300.0,13.0,,Microlensing,2017,,
Kepler-397 c,Kepler-397,31.6,6.18,135.498527,Transit,2014,5307.0,0.767
Kepler-1503 b,Kepler-1503,5.77,2.27,96.16987,Transit,2016,5069.0,0.74
TOI-1776 b,TOI-1776,1.4,1.21612741,2.799868,Transit,2024,5785.0,0.9356
Kepler-1781 b,Kepler-1781,6.26,2.38091029,4.88752985,Transit,2021,5568.0,0.957
HAT-P-40 b,HAT-P-40,152.5584,17.03768,4.45724,Transit,2012,6080.0,1.94
HD 81688 b,HD 81688,525.68818518,13.5,183.93,Radial Velocity,2007,4797.0,11.13
K2-19 d,K2-19,6.2,1.044,2.50827,Transit,2016,5350.0,0.824
Kepler-1309 b,Kepler-1309,6.21,2.37,28.8432647,Transit,2016,5235.0,0.8
HD 169830 c,HD 169830,2437.42605328,12.6,1818.82339,Radial Velocity,2003,6300.0,1.935709
ZTF J1230-2655 b,ZTF J1230-2655,7024.0077947,13.78704626,0.23597766,Transit,2025,10000.0,0.0123
TOI-2525 b,TOI-2525,26.69758619,8.67575106,23.2856,Transit,2023,5096.0,0.785
Kepler-57 c,Kepler-57,6.86,2.196,11.6,Transit,2012,5187.9,0.826
Kepler-1300 b,Kepler-1300,2.45,1.37,22.2419092,Transit,2016,6130.0,1.79
K2-104 b,K2-104,3.86,1.79,1.9741954,Transit,2016,3712.0,0.48
KOI-134 b,KOI-134,346.43296363,12.03844527,67.1277,Transit,2025,6160.0,1.667
TOI-1768.01,TOI-1768,11.8,3.453,7.337703649,Transit,2024,5994.0,1.1
KMT-2023-BLG-2209L b,KMT-2023-BLG-2209L,254.2627256,13.9,,Microlensing,2025,,
